gi	species	kingdom	phylum	class	order	family	genus	
KF148537.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148350.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669279.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148341.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148217.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF570363.1	Tursiops australis	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
KF148140.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF570383.1	Tursiops truncatus	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
KF148299.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148194.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF570389.1	Tursiops truncatus	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
KF148296.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669247.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF600713.1	Schizothorax esocinus	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Schizothorax
KF148402.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148125.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669160.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148076.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148588.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669383.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148154.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669189.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF570372.1	Tursiops truncatus	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
KF148416.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148534.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669211.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148489.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148556.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148184.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669251.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669252.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669360.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148386.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF570361.1	Tursiops aduncus	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
KF148068.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148496.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669292.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669288.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148412.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669285.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148119.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669281.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148542.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148221.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148216.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF601700.1	Sus scrofa	Metazoa	Chordata	Mammalia	NA	Suidae	Sus
KF569218.1	Sus scrofa	Metazoa	Chordata	Mammalia	NA	Suidae	Sus
JX669334.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669269.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF570320.1	Tursiops truncatus	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
KF148258.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF055882.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669413.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148551.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148218.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669369.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669243.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148103.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669356.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148225.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669422.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148541.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669149.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF570316.1	Tursiops truncatus	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
KF570359.1	Tursiops aduncus	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
JX669326.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148120.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669375.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KC684532.1	Pipistrellus nathusii	Metazoa	Chordata	Mammalia	Chiroptera	Vespertilionidae	Pipistrellus
JX669275.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148108.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148298.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148528.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148546.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669226.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148553.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148389.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148089.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148462.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148328.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
