gi	species	kingdom	phylum	class	order	family	genus	
KF148455.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX996026.1	Leptopelis parbocagii	Metazoa	Chordata	Amphibia	Anura	Arthroleptidae	Leptopelis
KF668930.1	Sicyopus zosterophorus	Metazoa	Chordata	Actinopteri	Gobiiformes	Gobiidae	Sicyopus
KF148538.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX416136.1	Puntius chelynoides	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Puntius
KF148228.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF570326.1	Tursiops truncatus	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
KF148266.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148485.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF055885.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148388.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF570346.1	Tursiops truncatus	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
KF148071.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669381.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669270.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148433.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148396.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148196.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF055864.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669392.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669323.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669333.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF570356.1	Tursiops aduncus	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
KF148550.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148467.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669156.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148517.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148227.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669337.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148208.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148321.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148333.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148466.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148285.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148522.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669224.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148083.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669322.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148369.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148269.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669332.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148507.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148148.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148342.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669341.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669278.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148306.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669172.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF570333.1	Tursiops truncatus	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
KF148452.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF647872.1	Hemiculter leucisculus	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Hemiculter
KF148072.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148169.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669365.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669339.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148084.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148142.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669266.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148232.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148308.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669319.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX187439.1	Dendropsophus sp. A RB-2011	Metazoa	Chordata	Amphibia	Anura	Hylidae	Dendropsophus
JX416137.1	Puntius chelynoides	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Puntius
KF148359.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF534784.1	Leptobotia rubrilabris	Metazoa	Chordata	Actinopteri	Cypriniformes	Botiidae	Leptobotia
JX669174.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148338.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669384.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669173.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX416135.1	Puntius chelynoides	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Puntius
KC684531.1	Pipistrellus nathusii	Metazoa	Chordata	Mammalia	Chiroptera	Vespertilionidae	Pipistrellus
KF148516.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148176.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148411.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148102.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669352.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669412.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF570374.1	Tursiops truncatus	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
JX669223.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669235.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148235.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148539.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148310.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669255.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669222.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669203.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148090.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148504.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669234.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148365.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148431.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148080.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148313.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148067.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF055865.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF729957.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF055863.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148417.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148200.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF570370.1	Tursiops truncatus	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
JX187445.1	Dendropsophus nanus A	Metazoa	Chordata	Amphibia	Anura	Hylidae	Dendropsophus
KF562391.1	Chilodus fritillus	Metazoa	Chordata	Actinopteri	Characiformes	Chilodontidae	Chilodus
KF647873.1	Romanogobio tenuicorpus	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Romanogobio
KF570332.1	Tursiops truncatus	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
JX669420.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148540.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148287.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148155.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148367.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148384.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF055878.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669276.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148107.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669250.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF055871.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148185.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148345.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148340.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148095.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669148.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148500.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148420.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148088.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF570379.1	Tursiops truncatus	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
JX669163.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669167.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148558.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KC684539.1	Pipistrellus pipistrellus	Metazoa	Chordata	Mammalia	Chiroptera	Vespertilionidae	Pipistrellus
KF148515.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669394.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669402.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX416148.1	Barbonymus gonionotus	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Barbonymus
JX669317.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669216.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148166.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148195.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX187442.1	Dendropsophus nanus	Metazoa	Chordata	Amphibia	Anura	Hylidae	Dendropsophus
JX669290.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669221.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF055870.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669256.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF700922.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF570321.1	Tursiops truncatus	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
KF529530.1	Rhinogobio ventralis	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Rhinogobio
JX669273.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669168.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669304.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148206.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148190.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148147.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669418.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148187.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148508.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669358.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX187436.1	Dendropsophus sp. A RB-2011	Metazoa	Chordata	Amphibia	Anura	Hylidae	Dendropsophus
KF148484.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669171.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148279.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669397.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF570362.1	Tursiops aduncus	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
KF148229.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148268.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148564.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148283.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148294.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148370.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF055879.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148479.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX910250.1	Ovis aries	Metazoa	Chordata	Mammalia	NA	Bovidae	Ovis
KF570345.1	Tursiops truncatus	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
KF148563.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669306.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148502.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148530.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148368.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF570347.1	Tursiops truncatus	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
KF148093.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF573616.1	Canis lupus laniger	Metazoa	Chordata	Mammalia	Carnivora	Canidae	Canis
JX669300.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148355.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF523405.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148224.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148590.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148098.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669245.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF570378.1	Tursiops truncatus	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
KF148117.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669372.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148492.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX187443.1	Dendropsophus nanus	Metazoa	Chordata	Amphibia	Anura	Hylidae	Dendropsophus
JX669272.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669363.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148222.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148584.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF570335.1	Tursiops aduncus	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
KF148307.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148319.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148429.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148233.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148337.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669150.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148106.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669386.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148126.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148520.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148524.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148354.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148363.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148170.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669297.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148137.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148444.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148591.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148181.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX416154.1	Pethia ticto	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Pethia
JX669162.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148419.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148436.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF723706.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669213.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148478.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF472179.1	Sus scrofa	Metazoa	Chordata	Mammalia	NA	Suidae	Sus
KF585008.1	Chilodus punctatus	Metazoa	Chordata	Actinopteri	Characiformes	Chilodontidae	Chilodus
KF148527.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148422.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669424.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
AB863607.1	Pethia conchonius	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Pethia
KF570329.1	Tursiops truncatus	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
JX669331.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669361.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF472178.1	Sus scrofa	Metazoa	Chordata	Mammalia	NA	Suidae	Sus
KF148157.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669190.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148569.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF570327.1	Tursiops truncatus	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
KF148511.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148211.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF111724.1	Myotis ikonnikovi	Metazoa	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis
JX669345.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF570349.1	Tursiops truncatus	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
KF148220.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669239.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF570318.1	Tursiops truncatus	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
JX669374.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148568.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669187.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF523406.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148453.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148118.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF055889.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148414.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX187446.1	Dendropsophus nanus A	Metazoa	Chordata	Amphibia	Anura	Hylidae	Dendropsophus
JX669347.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148116.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148241.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148109.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148488.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF440685.1	Myotis macrodactylus	Metazoa	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis
KF500173.1	Naemorhedus griseus	Metazoa	Chordata	Mammalia	NA	Bovidae	Naemorhedus
KF148204.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148547.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669244.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148240.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF723709.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669343.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF055867.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148440.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148178.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669236.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669159.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148356.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669400.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669376.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148364.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148533.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF570368.1	Tursiops australis	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
KF148447.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF055872.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148111.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
HG427451.1	Xenopus gilli	Metazoa	Chordata	Amphibia	Anura	Pipidae	Xenopus
JX669201.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148167.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148085.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148348.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148570.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669419.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF570351.1	Tursiops truncatus	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
KF148581.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KC684535.1	Pipistrellus kuhlii	Metazoa	Chordata	Mammalia	Chiroptera	Vespertilionidae	Pipistrellus
KF148205.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148165.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF570369.1	Tursiops australis	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
KF148437.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148192.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
