taxid	species	kingdom	phylum	class	order	family	genus	
1903341	Anopheles flavivirus variant 2	NA	NA	NA	NA	Flaviviridae	NA
12637	Dengue virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
227158	Chimeric Dengue virus vector p4(Delta30)-D2-CME	NA	NA	NA	NA	NA	NA
4006	Linum usitatissimum	Viridiplantae	Streptophyta	NA	Malpighiales	Linaceae	Linum
64280	Apoi virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
1048536	Culex theileri flavivirus RP-2011	NA	NA	NA	NA	Flaviviridae	Flavivirus
64285	Rio Bravo virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
11082	West Nile virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
32630	synthetic construct	NA	NA	NA	NA	NA	NA
64293	Tembusu virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
64290	Bagaza virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
941339	Flavivirus Aedes/MO-Ac/ITA/2009	NA	NA	NA	NA	Flaviviridae	Flavivirus
64313	Naranjal virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
11072	Japanese encephalitis virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
64294	Yokose virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
1207926	Duck egg-drop syndrome virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
11080	Saint Louis encephalitis virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
598673	West Nile virus strain PT5.2	NA	NA	NA	NA	Flaviviridae	Flavivirus
59563	Ilheus virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
2045185	Long Pine Key virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
64287	Karshi virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
1890418	Anopheles hyrcanus flavivirus	NA	NA	NA	NA	Flaviviridae	NA
1231621	Flavivirus White Kaiya duck/WR/China/2010	NA	NA	NA	NA	Flaviviridae	Flavivirus
11069	Dengue virus 3	NA	NA	NA	NA	Flaviviridae	Flavivirus
227156	Chimeric Dengue virus vector p4(Delta30)-D2-ME	NA	NA	NA	NA	NA	NA
93923	Sitiawan virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
1098914	Layer flavivirus CJD05	NA	NA	NA	NA	Flaviviridae	Flavivirus
11089	Yellow fever virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
1653304	Fitzroy River virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
1456752	Kama virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
431667	Chimeric dengue virus type 1 vector p4-D1-ME	NA	NA	NA	NA	NA	NA
504472	Spirosoma linguale DSM 74	NA	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Spirosoma
40012	Saumarez Reef virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
64296	Edge Hill virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
5854	Plasmodium reichenowi	NA	Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium
1244563	Culex theileri flavivirus	NA	NA	NA	NA	Flaviviridae	Flavivirus
44025	Koutango virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
1105033	Duck flavivirus KPS54A61/THA	NA	NA	NA	NA	Flaviviridae	Flavivirus
38837	Banzi virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
11083	Powassan virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
283795	Dengue virus type 4 vector p4	NA	NA	NA	NA	NA	NA
449277	West Nile virus SA93/01	NA	NA	NA	NA	Flaviviridae	Flavivirus
11094	Negishi virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
